gameDate,homeTeamCode,awayTeamCode,quarter,timeDriveStart,down,distance,yardLine,direction,play_type,player,player_number,is_complete,receiver,receiver_number,yardsFromPlay,visitorScore,homeScore,description,is_penalty,is_penalty_declined,penalty_player,penalty_type,penalty_team,is_noplay,is_touchdown,defenseTeamCode,offenseTeamCode,,,offenseTeam,defenseTeam
2014-09-06,oregon,michigan-st,1ST,15:00,3,11,999,ERROR,PASS,M.Mariota,8,1,R.Freeman,21,,0,0,"8-M.Mariota complete to 21-R.Freeman. 21-R.Freeman to ORE 38 for 5 yards (30-R.Bullough).",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,4,6,999,ERROR,PUNT,I.Wheeler,38,0,,0,,0,0,"38-I.Wheeler punts 50 yards from ORE 38 to MSU 12, fair catch by 85-M.Kings.",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,1,10,999,ERROR,PASS,C.Cook,18,1,M.Kings,85,17,0,0,"18-C.Cook complete to 85-M.Kings. 85-M.Kings to MSU 29 for 17 yards.",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,1,10,999,ERROR,PASS,C.Cook,18,1,A.Burbridge,16,22,0,0,"18-C.Cook complete to 16-A.Burbridge. 16-A.Burbridge to ORE 49 for 22 yards.",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,1,10,999,ERROR,RUSH,J.Langford,33,0,,0,7,0,0,"33-J.Langford to ORE 42 for 7 yards.",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,2,3,999,ERROR,RUSH,J.Langford,33,0,,0,4,0,0,"33-J.Langford to ORE 38 for 4 yards.",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,1,10,999,ERROR,RUSH,J.Langford,33,0,,0,,0,0,"33-J.Langford to ORE 38 for no gain (35-J.Walker).",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,2,10,999,ERROR,PASS,C.Cook,18,0,J.Langford,33,,0,0,"18-C.Cook incomplete. Intended for 33-J.Langford.",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,3,10,999,ERROR,PASS,C.Cook,18,0,,0,36,0,0,"18-C.Cook incomplete. INTERCEPTED by 4-E.Dargan at ORE 25. 4-E.Dargan to MSU 39 for 36 yards.",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,1,10,999,ERROR,PASS,M.Mariota,8,1,B.Marshall,9,22,0,0,"8-M.Mariota complete to 9-B.Marshall. 9-B.Marshall to MSU 17 for 22 yards.",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,1,10,999,ERROR,RUSH,M.Mariota,8,0,,0,11,0,0,"8-M.Mariota to MSU 6 for 11 yards (44-M.Rush).",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,1,6,999,ERROR,RUSH,M.Mariota,8,0,,0,,0,0,"8-M.Mariota to MSU 6 for no gain. Penalty on MSU 6-M.Hicks, Personal Foul, 3 yards, enforced at MSU 6.",1,0,M.Hicks,"Personal Foul",MSU,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,1,3,999,ERROR,RUSH,T.Tyner,24,0,,0,2,0,0,"24-T.Tyner to MSU 1 for 2 yards.",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,2,1,999,ERROR,RUSH,T.Tyner,24,0,,0,,0,0,"24-T.Tyner to MSU 1 for no gain.",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,3,1,999,ERROR,PASS,M.Mariota,8,0,D.Allen,5,,0,0,"8-M.Mariota incomplete. Intended for 5-D.Allen.",0,0,,,,0,0,oregon,michigan-st,,
2014-09-06,oregon,michigan-st,1ST,15:00,4,1,999,ERROR,RUSH,T.Tyner,24,0,,0,1,0,0,"24-T.Tyner runs 1 yard for a touchdown.",0,0,,,,0,1,oregon,michigan-st,,
